sim,n_control,n_cfs,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1,snp
10000,201,305,1,1,0.86,0.0633,0.0585266366336084,0.0680733633663916,0.940545458647261,1.53899186256781,0.557213930348259,0.632004658168884,0.54204229597926,CTLA4
10000,201,305,1,1,0.87,0.0693,0.0643215533799298,0.0742784466200702,0.936590947959714,1.53899186256781,0.557213930348259,0.632004658168884,0.540996222000311,CTLA4
10000,201,305,1,1,0.88,0.0656,0.0607466600180062,0.0704533399819939,0.932654421022022,1.53899186256781,0.557213930348259,0.632004658168884,0.539950148021362,CTLA4
10000,201,305,1,1,0.89,0.067,0.0620988205505424,0.0719011794494576,0.928735755436666,1.53899186256781,0.557213930348259,0.632004658168884,0.538904074042413,CTLA4
10000,201,305,1,1,0.9,0.0696,0.0646115933294484,0.0745884066705516,0.924834829914328,1.53899186256781,0.557213930348259,0.632004658168884,0.537858000063464,CTLA4
10000,201,305,1,1,0.91,0.0715,0.0664491280828248,0.0765508719171752,0.92095152426138,1.53899186256781,0.557213930348259,0.632004658168884,0.536811926084515,CTLA4
10000,201,305,1,1,0.92,0.0779,0.0726461203470012,0.0831538796529988,0.917085719367539,1.53899186256781,0.557213930348259,0.632004658168884,0.535765852105565,CTLA4
10000,201,305,1,1,0.93,0.0798,0.0744879159161209,0.0851120840838791,0.91323729719369,1.53899186256781,0.557213930348259,0.632004658168884,0.534719778126616,CTLA4
10000,201,305,1,1,0.94,0.0812,0.0758455990566039,0.0865544009433961,0.909406140759868,1.53899186256781,0.557213930348259,0.632004658168884,0.533673704147667,CTLA4
10000,201,305,1,1,0.95,0.0846,0.0791447706226032,0.0900552293773968,0.905592134133409,1.53899186256781,0.557213930348259,0.632004658168884,0.532627630168718,CTLA4
10000,201,305,1,1,0.96,0.088,0.0824465721247519,0.0935534278752481,0.901795162417253,1.53899186256781,0.557213930348259,0.632004658168884,0.531581556189769,CTLA4
